date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:19	16055/16055	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:15%20GMT	http://global.ahnlab.com/site/download/removal/downFile.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/download/removal/downFile.html	(from http://global.ahnlab.com/site/search/searchResultAll.do)
17:31:19	3029/3029	U-----	200	untouched ('OK')	application/x-javascript	etag:%226fUD6Rz+2g0%22	http://www.ahnlab.com/js/jquery.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/jquery.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:19	234/234	U-----	200	untouched ('OK')	application/x-javascript	etag:%22Dq3vd2pZl8M%22	http://www.ahnlab.com/js/site.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/site.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:19	5480/5480	U-----	200	untouched ('OK')	application/x-javascript	etag:%229Wteth9xlUR%22	http://www.ahnlab.com/js/lib/jquery/jquery.placeholder.js	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/js/lib/jquery/jquery.placeholder.js	(from http://www.ahnlab.com/kr/site/main.do)
17:31:20	173/173	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Feb%202016%2010:31:24%20GMT	https://www.ahnlab.com/kr/site/mypage/product/prodListBiz.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/mypage/product/prodListBiz.3a.delayed	(from http://www.ahnlab.com/kr/site/main.do)
17:31:20	5342/5342	U-----	200	untouched ('OK')	text/html	date:Tue,%2026%20Jan%202016%2011:01:24%20GMT	http://www.ahnlab.com/kr/site/product/securityMap.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/product/securityMap.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:20	2835/2835	U-----	200	untouched ('')	image/gif	etag:%2254892840-b13%22	http://image.ahnlab.com/img_upload/kr/site/images2/common/img_logo.gif	E:/projects/other/ahnlab/html/ahnlab/image.ahnlab.com/img_upload/kr/site/images2/common/img_logo.gif	(from http://www.ahnlab.com/kr/site/main.do)
17:31:20	10781/10781	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:24%20GMT	http://www.ahnlab.com/kr/site/securityinfo/statistics/security1.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/securityinfo/statistics/security1.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:22	177/177	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Feb%202016%2010:31:26%20GMT	https://www.ahnlab.com/kr/site/download/product/productMyList.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/download/product/productMyList.43.delayed	(from http://www.ahnlab.com/kr/site/main.do)
17:31:39	153195/153195	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:26%20GMT	http://www.ahnlab.com/kr/site/product/partnerMain.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/product/partnerMain.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:43	149181/149181	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:27%20GMT	http://www.ahnlab.com/kr/site/product/purchase/eLicense.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/product/purchase/eLicense.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:43	148326/148326	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:26%20GMT	https://www.ahnlab.com/kr/site/login/loginForm.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/login/loginForm.html	(from http://www.ahnlab.com/kr/site/main.do)
17:31:44	148057/148057	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:31:26%20GMT	https://www.ahnlab.com/kr/site/login/loginForm.do?from_url=https%3A%2F%2Fwww.ahnlab.com%2Fkr%2Fsite%2Fmypage%2FmypageMain.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/login/loginFormede2.html	(from http://www.ahnlab.com/kr/site/main.do)
